text,author,book_title,tags,likes,link
"We think that if we just meditated enough or jogged enough or ate perfect food, everything would be perfect. But from the point of view of someone who is awake, that’s death. Seeking security or perfection, rejoicing in feeling confirmed and whole, self contained and comfortable, is some kind of death. It doesn’t have any fresh air. There’s no room for something to come in and interrupt all that. We are killing the moment by controlling our experience.",Pema Chödrön,When Things Fall Apart: Heart Advice for Difficult Times,buddhism|inspirational|spirituality,113,https://www.goodreads.com/quotes/938349-we-think-that-if-we-just-meditated-enough-or-jogged
it is impossible to build one's own happiness on the unhappiness of others. This perspective is at the heart of Buddhist teachings.,Daisaku Ikeda,,buddhism|destiny|happiness|humanism|inspirational|karma|peace|self-reformation,433,https://www.goodreads.com/quotes/184147-it-is-impossible-to-build-one-s-own-happiness-on-the
Man suffers only because he takes seriously what the gods made for fun.,Alan Wilson Watts,,buddhism|metaphysics|philosophy|religion|tao|taoism|theology|zen,2053,https://www.goodreads.com/quotes/321794-man-suffers-only-because-he-takes-seriously-what-the-gods
"When the mind is exhausted of images, it invents its own.",Gary Snyder,Earth House Hold: Technical Notes & Queries to Fellow Dharma Revolutionaries,buddhism|dharma|gary|mind|snyder|zen,101,https://www.goodreads.com/quotes/287161-when-the-mind-is-exhausted-of-images-it-invents-its
"Even if things don't unfold the way you expected, don't be disheartened or give up. One who continues to advance will win in the end.",Daisaku Ikeda,,buddhism|destiny|happiness|humanism|inspirational|karma|peace|self-reformation,794,https://www.goodreads.com/quotes/184148-even-if-things-don-t-unfold-the-way-you-expected-don-t
"Life is painful. It has thorns, like the stem of a rose. Culture and art are the roses that bloom on the stem. The flower is yourself, your humanity. Art is the liberation of the humanity inside yourself.",Daisaku Ikeda,,buddhism|destiny|happiness|humanism|inspirational|karma|peace|self-reformation,361,https://www.goodreads.com/quotes/184143-life-is-painful-it-has-thorns-like-the-stem-of
The Way is not in the sky; the Way is in the heart.,Gautama Buddha,,buddha|buddhism|life|living|religion|spirituality,211,https://www.goodreads.com/quotes/809642-the-way-is-not-in-the-sky-the-way-is
Many people think excitement is happiness.... But when you are excited you are not peaceful. True happiness is based on peace.,Thich Nhat Hanh,The Art of Power,buddhism|happiness|peace,798,https://www.goodreads.com/quotes/142659-many-people-think-excitement-is-happiness-but-when-you-are
"Too lazy to be ambitious,
I let the world take care of itself.
Ten days' worth of rice in my bag;
a bundle of twigs by the fireplace.
Why chatter about delusion and enlightenment?
Listening to the night rain on my roof,
I sit comfortably, with both legs stretched out.",Ryōkan,,buddhism|buddhist|hermit|japan|japanese|monk|philosophers|philosophy|poem|poems|poetry|ryokan|seers|zen|zen-monk,205,https://www.goodreads.com/quotes/452902-too-lazy-to-be-ambitious-i-let-the-world-take
"Usually when we hear or read something new, we just compare it to our own ideas. If it is the same, we accept it and say that it is correct. If it is not, we say it is incorrect. In either case, we learn nothing.",Thich Nhat Hanh,"The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation",buddhism|learning|psychology,282,https://www.goodreads.com/quotes/392169-usually-when-we-hear-or-read-something-new-we-just
It is my conviction that there is no way to peace - peace is the way.,Thich Nhat Hanh,The Art of Power,buddhism|peace,227,https://www.goodreads.com/quotes/142661-it-is-my-conviction-that-there-is-no-way-to
"Not thinking about anything is Zen. Once you know this, walking, sitting, or lying down, everything you do is Zen.",Bodhidharma,The Zen Teaching of Bodhidharma,buddhism|enlightenment|mind|zen,142,https://www.goodreads.com/quotes/343764-not-thinking-about-anything-is-zen-once-you-know-this
"To dwell in the here and now does not mean you never think about the past or responsibly plan for the future. The idea is simply not to allow yourself to get lost in regrets about the past or worries about the future. If you are firmly grounded in the present moment, the past can be an object of inquiry, the object of your mindfulness and concentration. You can attain many insights by looking into the past. But you are still grounded in the present moment.",Thich Nhat Hanh,The Art of Power,buddhism,194,https://www.goodreads.com/quotes/142660-to-dwell-in-the-here-and-now-does-not-mean
"Where there are humans,
You'll find flies,
And Buddhas.",Kobayashi Issa,,buddhism|flies|zen,160,https://www.goodreads.com/quotes/6417-where-there-are-humans-you-ll-find-flies-and-buddhas
"The institutions of human society treat us as parts of a machine. They assign us ranks and place considerable pressure upon us to fulfill defined roles. We need something to help us restore our lost and distorted humanity. Each of us has feelings that have been suppressed and have built up inside. There is a voiceless cry resting in the depths of our souls, waiting for expression. Art gives the soul's feelings voice and form.",Daisaku Ikeda,,buddhism|destiny|happiness|humanism|inspirational|karma|peace|self-reformation,100,https://www.goodreads.com/quotes/184144-the-institutions-of-human-society-treat-us-as-parts-of
"A student, filled with emotion and crying, implored, ""Why is there so much suffering?""
Suzuki Roshi replied, ""No reason.",Shunryu Suzuki,"Zen Is Right Here: Teaching Stories and Anecdotes of Shunryu Suzuki, Author of ""ZEN Mind, Beginner's Mind""",buddhism|philosophy|suffering|wisdom|zen|zen-buddhism,157,https://www.goodreads.com/quotes/639489-a-student-filled-with-emotion-and-crying-implored-why-is
Walk as if you are kissing the Earth with your feet.,Thich Nhat Hanh,Peace Is Every Step: The Path of Mindfulness in Everyday Life,buddhism|gratitude|joy|mindfulness|zen,4846,https://www.goodreads.com/quotes/299262-walk-as-if-you-are-kissing-the-earth-with-your
"Letting go gives us freedom, and freedom is the only condition for happiness. If, in our heart, we still cling to anything - anger, anxiety, or possessions - we cannot be free.",Thich Nhat Hanh,"The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation",anger|buddhism|freedom|happiness|peace,1342,https://www.goodreads.com/quotes/437734-letting-go-gives-us-freedom-and-freedom-is-the-only
Maybe love at first sight isn’t what we think it is. Maybe it’s recognising a soul we loved in a past life and falling in love with them again.,Kamand Kojouri,,buddhism|destiny|fall-in-love|falling-in-love|fate|in-love|kamand|kamand-kojouri|kismet|kojouri|life|lives|love|love-at-first-sight|love-quote|lover|past|past-life|rebirth|reincarnation|sight|soul|soulmate,128,https://www.goodreads.com/quotes/7960212-maybe-love-at-first-sight-isn-t-what-we-think-it
"Learning to let go should be learned before learning to get. Life should be touched, not strangled. You’ve got to relax, let it happen at times, and at others move forward with it.",Ray Bradbury,,buddhism|common-sense|life|zen,1401,https://www.goodreads.com/quotes/53187-learning-to-let-go-should-be-learned-before-learning-to
"A fool sees himself as another, but a wise man sees others as himself.",Dōgen,How to Cook Your Life: From the Zen Kitchen to Enlightenment,buddhism|zen,105,https://www.goodreads.com/quotes/915199-a-fool-sees-himself-as-another-but-a-wise-man
"A great human revolution in just a single individual will help achieve a change in the destiny of a nation and, further, can even enable a change in the destiny of all humankind.",Daisaku Ikeda,The Human Revolution,absolute-happiness|buddhism|destiny|humanism|inspirational|karma|peace|self-reformation,131,https://www.goodreads.com/quotes/33413-a-great-human-revolution-in-just-a-single-individual-will
"The secret of Buddhism is to remove all ideas, all concepts, in order for the truth to have a chance to penetrate, to reveal itself.",Thich Nhat Hanh,"Buddha Mind, Buddha Body: Walking Toward Enlightenment",buddhism|philosophy|religion,276,https://www.goodreads.com/quotes/132365-the-secret-of-buddhism-is-to-remove-all-ideas-all
"Being vegetarian here also means that we do not consume dairy and egg products, because they are products of the meat industry. If we stop consuming, they will stop producing. Only collective awakening can create enough determination for action.",Thich Nhat Hanh,The Fruitful Darkness: A Journey Through Buddhist Practice and Tribal Wisdom,buddhism|veganism|vegetarianism,102,https://www.goodreads.com/quotes/523094-being-vegetarian-here-also-means-that-we-do-not-consume
"When you catch yourself slipping into a pool of negativity, notice how it derives from nothing other than resistance to the current situation.",Donna Quesada,Buddha in the Classroom: Zen Wisdom to Inspire Teachers,buddhism|consciousness-raising|spirituality|yoga|zen,140,https://www.goodreads.com/quotes/503536-when-you-catch-yourself-slipping-into-a-pool-of-negativity
